Experiment,Year,Location,Range,Row,Plot,Rep,Nitrogen,Weed_Pressure,Pedigree,Hybrid,Stand_Count,Planting_Date,Harvest_Date,FDT,RTA,PHT,EHT,SDL,SDS,YIELD,PROT,OIL,STA
OREI_Replicated_Exp,2018,Pana,3,21,11302,1,N1,WPLUS,PHHB9*PHR63,UIUC2,14,5/25/2018,10/15/2018,1.816666667,113.0608333,230,115,28.022,25.228,78.27586207,8.7,3.3,71.8
OREI_Replicated_Exp,2018,Pana,3,25,11301,1,N1,WPLUS,PHHB9*PHM49,UIUC1,13,5/25/2018,10/15/2018,1.88,78.6675,255,145,29.22,27.322,95.32248997,8.8,3.4,71.6
OREI_Replicated_Exp,2018,Pana,3,29,11310,1,N1,WPLUS,17.461,ORG1,28,5/25/2018,10/15/2018,1.933333333,77.47333333,257,130,22.136,19.974,162.4667818,9.8,4.3,69.2
OREI_Replicated_Exp,2018,Pana,3,33,11305,1,N1,WPLUS,PHHB9*Q381,UIUC5,14,5/25/2018,10/15/2018,1.866666667,67.67583333,225,90,24.882,22.546,122.3952744,8.8,3.4,71.7
OREI_Replicated_Exp,2018,Pana,1,33,12104,1,N2,WPLUS,PHHB9*PHZ51,UIUC4,21,5/25/2018,10/15/2018,1.81,103.4016667,270,130,25.55,23.82,147.9094705,8,3.3,72.4
OREI_Replicated_Exp,2018,Pana,3,41,11309,1,N1,WPLUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,1.863333333,79.6675,215,100,21.72,19.646,126.3018292,10.3,4.4,68.9
OREI_Replicated_Exp,2018,Pana,4,5,12308,1,N1,WMINUS,PHW52*Q381,UIUC8,12,5/25/2018,10/15/2018,1.846666667,64.58083333,198,80,22.43,20.774,71.61016949,9.8,3.8,70.5
OREI_Replicated_Exp,2018,Pana,4,9,12307,1,N1,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.913333333,99.44666667,235,95,23.81,21.168,171.0482529,7,3.5,73.1
OREI_Replicated_Exp,2018,Pana,4,13,12306,1,N1,WMINUS,PHP38*Q381,UIUC6,26,5/25/2018,10/15/2018,1.88,78.34833333,247,100,20.042,17.704,179.6760504,9.1,3.9,71.2
OREI_Replicated_Exp,2018,Pana,4,17,12303,1,N1,WMINUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.903333333,77.705,272,107,24.626,21.58,188.3695706,8.5,3.6,71.8
OREI_Replicated_Exp,2018,Pana,4,21,12302,1,N1,WMINUS,PHHB9*PHR63,UIUC2,30,5/25/2018,10/15/2018,1.903333333,72.80833333,240,100,24.264,21.558,.,8.3,3.6,71.9
OREI_Replicated_Exp,2018,Pana,4,25,12301,1,N1,WMINUS,PHHB9*PHM49,UIUC1,29,5/25/2018,10/15/2018,1.88,102.69125,240,105,21.922,20.27,169.1470068,7.8,3.4,72.6
OREI_Replicated_Exp,2018,Pana,4,29,12310,1,N1,WMINUS,17.461,ORG1,23,5/25/2018,10/15/2018,1.93,56.58583333,255,135,21.078,18.864,136.6653942,8.4,5,69.5
OREI_Replicated_Exp,2018,Pana,4,33,12305,1,N1,WMINUS,PHHB9*Q381,UIUC5,23,5/25/2018,10/15/2018,1.9,87.82583333,230,100,21.632,19.358,130.9503703,7.7,3.6,72.5
OREI_Replicated_Exp,2018,Pana,2,33,11104,1,N2,WMINUS,PHHB9*PHZ51,UIUC4,26,5/25/2018,10/15/2018,1.853333333,87.86666667,280,124,25.752,24.084,181.0642284,8.8,3.3,71.8
OREI_Replicated_Exp,2018,Pana,4,41,12309,1,N1,WMINUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,1.903333333,92.63,228,138,21.056,19.49,140.528181,9.1,4.3,69.9
OREI_Replicated_Exp,2018,Pana,5,5,12210,1,N3,WPLUS,17.461,ORG1,36,5/25/2018,10/15/2018,1.903333333,60.245,240,105,21.984,20.05,169.0105664,.,.,.
OREI_Replicated_Exp,2018,Pana,5,9,12203,1,N3,WPLUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.91,87.795,280,130,24.764,22.804,188.3463755,8.9,3.4,71.7
OREI_Replicated_Exp,2018,Pana,5,13,12206,1,N3,WPLUS,PHP38*Q381,UIUC6,23,5/25/2018,10/15/2018,1.893333333,60.68833333,257,115,24.69,21.8,161.1501234,9.1,3.8,71.2
OREI_Replicated_Exp,2018,Pana,5,17,12208,1,N3,WPLUS,PHW52*Q381,UIUC8,20,5/25/2018,10/15/2018,1.866666667,87.2475,230,103,24.788,21.778,118.8655931,9.3,3.6,71.3
OREI_Replicated_Exp,2018,Pana,5,21,12207,1,N3,WPLUS,PHW52*LH185,UIUC7,29,5/25/2018,10/15/2018,1.863333333,92.465,262,113,21.946,19.702,.,.,.,.
OREI_Replicated_Exp,2018,Pana,5,25,12209,1,N3,WPLUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.886666667,97.5225,254,118,24.56,22.508,150.9759648,9.4,4.7,69.1
OREI_Replicated_Exp,2018,Pana,5,29,12205,1,N3,WPLUS,PHHB9*Q381,UIUC5,25,5/25/2018,10/15/2018,1.876666667,99.65166667,242,90,22.446,20.264,141.575725,8.6,3.7,71.5
OREI_Replicated_Exp,2018,Pana,5,33,12201,1,N3,WPLUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.876666667,101.1883333,253,140,24.274,22.824,171.7241246,8.3,3.3,72.3
OREI_Replicated_Exp,2018,Pana,5,37,12202,1,N3,WPLUS,PHHB9*PHR63,UIUC2,30,5/25/2018,10/15/2018,1.806666667,98.62,250,100,24.574,22.32,178.4414121,8.6,3.8,71.5
OREI_Replicated_Exp,2018,Pana,5,41,12204,1,N3,WPLUS,PHHB9*PHZ51,UIUC4,26,5/25/2018,10/15/2018,1.813333333,81.70166667,270,132,24.616,22.388,190.9676895,8.5,3.3,71.9
OREI_Replicated_Exp,2018,Pana,6,5,11210,1,N3,WMINUS,17.461,ORG1,28,5/25/2018,10/15/2018,1.893333333,71.22583333,245,128,22.212,19.602,178.413079,10.1,5,68.1
OREI_Replicated_Exp,2018,Pana,6,9,11203,1,N3,WMINUS,PHHB9*PHW30,UIUC3,29,5/25/2018,10/15/2018,1.886666667,95.80833333,290,122,25.008,22.652,190.9346814,9.2,3.6,71
OREI_Replicated_Exp,2018,Pana,6,13,11206,1,N3,WMINUS,PHP38*Q381,UIUC6,24,5/25/2018,10/15/2018,1.86,88.30333333,255,117,24.45,21.73,176.007326,9.9,4.3,70
OREI_Replicated_Exp,2018,Pana,6,17,11208,1,N3,WMINUS,PHW52*Q381,UIUC8,24,5/25/2018,10/15/2018,1.893333333,64.4825,230,90,25.786,23.538,140.1201095,10,3.9,70.2
OREI_Replicated_Exp,2018,Pana,6,21,11207,1,N3,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.843333333,79.71916667,262,113,22.8,20.338,209.5394376,8,3.6,71.9
OREI_Replicated_Exp,2018,Pana,6,25,11209,1,N3,WMINUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.88,73.05916667,255,132,25.18,22.072,163.2452054,11,4.2,68.4
OREI_Replicated_Exp,2018,Pana,6,29,11205,1,N3,WMINUS,PHHB9*Q381,UIUC5,23,5/25/2018,10/15/2018,1.87,74.44833333,250,90,23.648,22.42,139.8659994,8.7,3.5,71.6
OREI_Replicated_Exp,2018,Pana,6,33,11201,1,N3,WMINUS,PHHB9*PHM49,UIUC1,29,5/25/2018,10/15/2018,1.92,87.9575,252,110,24.744,23.154,167.4324324,8.9,3.5,71.7
OREI_Replicated_Exp,2018,Pana,6,37,11202,1,N3,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,1.825,91.30375,235,105,24.834,22.81,181.5920583,8.5,3.5,71.9
OREI_Replicated_Exp,2018,Pana,6,41,11204,1,N3,WMINUS,PHHB9*PHZ51,UIUC4,19,5/25/2018,10/15/2018,1.753333333,112.4108333,252,127,24.822,23.046,146.192767,8.6,3.6,71.7
OREI_Replicated_Exp,2018,Pana,7,5,22102,2,N2,WPLUS,PHHB9*PHR63,UIUC2,25,5/25/2018,10/15/2018,1.893333333,94.12583333,220,90,24.392,22.418,169.198182,8.1,3.5,72.2
OREI_Replicated_Exp,2018,Pana,7,9,22108,2,N2,WPLUS,PHW52*Q381,UIUC8,25,5/25/2018,10/15/2018,1.886666667,57.67388889,242,95,21.47,19.68,155.6634376,9,3.9,71.2
OREI_Replicated_Exp,2018,Pana,7,13,22105,2,N2,WPLUS,PHHB9*Q381,UIUC5,26,5/25/2018,10/15/2018,1.913333333,73.51166667,253,95,23.338,20.98,165.7679739,9.1,3.6,71.4
OREI_Replicated_Exp,2018,Pana,7,17,22107,2,N2,WPLUS,PHW52*LH185,UIUC7,28,5/25/2018,10/15/2018,1.913333333,70.83416667,242,100,22.5,19.964,198.1643588,8,3.3,72.4
OREI_Replicated_Exp,2018,Pana,7,21,22101,2,N2,WPLUS,PHHB9*PHM49,UIUC1,23,5/25/2018,10/15/2018,1.88,77.01583333,250,110,25.602,23.632,183.4540101,8.2,3.5,72.1
OREI_Replicated_Exp,2018,Pana,7,25,22109,2,N2,WPLUS,461.2B24,ORG2,24,5/25/2018,10/15/2018,1.846666667,85.72,240,142,25.368,21.742,128.4679955,10.1,4.6,68.9
OREI_Replicated_Exp,2018,Pana,7,29,22106,2,N2,WPLUS,PHP38*Q381,UIUC6,31,5/25/2018,10/15/2018,1.866666667,76.6125,230,87,23.116,20.448,151.2268378,8.8,3.7,71.6
OREI_Replicated_Exp,2018,Pana,7,33,22103,2,N2,WPLUS,PHHB9*PHW30,UIUC3,28,5/25/2018,10/15/2018,1.863333333,88.63916667,260,92,24.366,21.946,171.237408,8.2,3.3,72.3
OREI_Replicated_Exp,2018,Pana,11,17,22304,2,N1,WPLUS,PHHB9*PHZ51,UIUC4,29,5/25/2018,10/15/2018,1.883333333,78.33583333,252,100,22.178,20.46,149.5796351,7.3,3.4,72.9
OREI_Replicated_Exp,2018,Pana,7,41,22110,2,N2,WPLUS,17.461,ORG1,32,5/25/2018,10/15/2018,1.923333333,64.69833333,257,148,23.992,21.432,164.042247,9.5,5,68.6
OREI_Replicated_Exp,2018,Pana,8,5,21102,2,N2,WMINUS,PHHB9*PHR63,UIUC2,25,5/25/2018,10/15/2018,1.933333333,62.025,240,110,22.192,20.624,165.4490166,8.5,3.5,71.9
OREI_Replicated_Exp,2018,Pana,8,9,21108,2,N2,WMINUS,PHW52*Q381,UIUC8,17,5/25/2018,10/15/2018,1.843333333,76.24333333,220,85,22.658,20.764,101.5762434,9.5,3.8,70.7
OREI_Replicated_Exp,2018,Pana,8,13,21105,2,N2,WMINUS,PHHB9*Q381,UIUC5,27,5/25/2018,10/15/2018,1.926666667,67.93333333,240,115,23.112,20.942,171.6553254,8.4,3.5,72
OREI_Replicated_Exp,2018,Pana,8,17,21107,2,N2,WMINUS,PHW52*LH185,UIUC7,29,5/25/2018,10/15/2018,1.883333333,79.65333333,250,105,22.444,20.26,208.2751272,7.5,3.5,72.5
OREI_Replicated_Exp,2018,Pana,8,21,21101,2,N2,WMINUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.88,77.89,250,110,25.116,22.958,177.443787,8.8,3.6,71.5
OREI_Replicated_Exp,2018,Pana,8,25,21109,2,N2,WMINUS,461.2B24,ORG2,30,5/25/2018,10/15/2018,1.846666667,76.45166667,256,113,24.77,21.618,156.9376273,9.6,4.2,69.7
OREI_Replicated_Exp,2018,Pana,8,29,21106,2,N2,WMINUS,PHP38*Q381,UIUC6,23,5/25/2018,10/15/2018,1.893333333,62.56083333,247,94,23.398,20.778,141.727077,9.4,4,70.7
OREI_Replicated_Exp,2018,Pana,8,33,21103,2,N2,WMINUS,PHHB9*PHW30,UIUC3,30,5/25/2018,10/15/2018,1.875,88.5225,265,115,24.18,21.55,171.4059292,7.8,3.2,72.6
OREI_Replicated_Exp,2018,Pana,12,17,21304,2,N1,WMINUS,PHHB9*PHZ51,UIUC4,29,5/25/2018,10/15/2018,1.893333333,81.97583333,250,104,21.186,19.584,136.0490018,7.5,3.6,72.3
OREI_Replicated_Exp,2018,Pana,8,41,21110,2,N2,WMINUS,17.461,ORG1,32,5/25/2018,10/15/2018,1.92,67.56,250,150,22.672,19.708,188.8441671,9.6,5.3,68.5
OREI_Replicated_Exp,2018,Pana,9,5,22210,2,N3,WPLUS,17.461,ORG1,25,5/25/2018,10/15/2018,1.916666667,67.93916667,247,132,22.568,20.508,174.2285325,10.1,4.8,68.2
OREI_Replicated_Exp,2018,Pana,9,9,22201,2,N3,WPLUS,PHHB9*PHM49,UIUC1,29,5/25/2018,10/15/2018,1.87,103.1416667,248,100,23.44,21.902,180.3238213,8.4,3.5,72
OREI_Replicated_Exp,2018,Pana,9,13,22206,2,N3,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.91,66.40083333,240,104,21.832,19.524,158.3730779,9,3.9,71.1
OREI_Replicated_Exp,2018,Pana,9,17,22205,2,N3,WPLUS,PHHB9*Q381,UIUC5,26,5/25/2018,10/15/2018,1.876666667,83.23666667,245,115,22.686,21.218,169.6735395,8.6,3.6,71.7
OREI_Replicated_Exp,2018,Pana,9,21,22207,2,N3,WPLUS,PHW52*LH185,UIUC7,30,5/25/2018,10/15/2018,1.886666667,82.50416667,242,100,21.618,19.858,198.2668977,7.6,3.2,73.1
OREI_Replicated_Exp,2018,Pana,9,25,22202,2,N3,WPLUS,PHHB9*PHR63,UIUC2,25,5/25/2018,10/15/2018,1.903333333,69.095,247,128,24.532,22.576,155.1901519,8.2,3.4,72
OREI_Replicated_Exp,2018,Pana,9,29,22203,2,N3,WPLUS,PHHB9*PHW30,UIUC3,23,5/25/2018,10/15/2018,1.926666667,76.445,248,114,24.798,22.546,164.8374465,8.9,3.5,71.5
OREI_Replicated_Exp,2018,Pana,7,37,22104,2,N2,WPLUS,PHHB9*PHZ51,UIUC4,24,5/25/2018,10/15/2018,1.833333333,113.9791667,255,95,22.144,20.794,158.3435958,8.8,3.6,71.6
OREI_Replicated_Exp,2018,Pana,9,37,22208,2,N3,WPLUS,PHW52*Q381,UIUC8,24,5/25/2018,10/15/2018,1.886666667,66.50333333,220,92,23.046,21.74,100.5593945,9.8,3.6,70.9
OREI_Replicated_Exp,2018,Pana,9,41,22209,2,N3,WPLUS,461.2B24,ORG2,31,5/25/2018,10/15/2018,1.925,77.46625,238,120,23.524,20.46,152.363448,10.5,4.5,68.6
OREI_Replicated_Exp,2018,Pana,10,5,21210,2,N3,WMINUS,17.461,ORG1,29,5/25/2018,10/15/2018,1.883333333,67.77833333,255,145,22.546,20.048,174.210609,10.8,4.6,68.2
OREI_Replicated_Exp,2018,Pana,10,9,21201,2,N3,WMINUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.91,68.9125,255,115,23.256,22.046,167.6792235,8.5,3.7,71.8
OREI_Replicated_Exp,2018,Pana,10,13,21206,2,N3,WMINUS,PHP38*Q381,UIUC6,26,5/25/2018,10/15/2018,1.89,84.7125,240,111,22.426,19.958,170.5736141,8.9,4.2,70.8
